time,uptime_ms,tick,action,state,x,y,detail
2025-08-19 21:04:31,146,0,INIT,FALL,48,48,spawn
2025-08-19 21:04:32,1354,0,REC_ON,FALL,48,48,
2025-08-19 21:04:32,1354,0,SPEED,FALL,48,48,3
2025-08-19 21:04:34,3411,33,ENTER_STATE,LAND,48,701,FALL->LAND
2025-08-19 21:04:35,4163,49,ENTER_STATE,IDLE,48,701,LAND->IDLE
2025-08-19 21:04:36,5103,69,CMD,CEILING,48,0,startCeiling LEFT
2025-08-19 21:04:36,5475,77,CEILING_EDGE_SWING,SWING_LEFT,0,0,LEFT
2025-08-19 21:04:38,6687,102,DRAG_START,DRAG,0,0,
2025-08-19 21:04:38,7195,113,DRAG_SHORT_LIFT,IDLE,453,688,
2025-08-19 21:04:42,11134,198,ENTER_STATE,WALK,453,688,setWalk
2025-08-19 21:04:42,11135,198,FACE,WALK,453,688,LEFT
2025-08-19 21:04:42,11136,198,AI_DECISION,WALK,453,688,WALK dir=L
